APAR,Is Security,Is HIPER,Description
DT433340,Y,N,IBM MQCVE-2026-1713[CVSS base score 5.5]
DT457904,Y,N,IBM MQCVE-2025-12635[CVSS base score 5.4]
DT460995,Y,N,Description not yet available (security/integrity exposure) [CVSS base score 7.5]
DT461364,Y,N,Description not yet available (security/integrity exposure) [CVSS base score 7.6]
DT462831,Y,N,IBM MQCVE-2025-15467 and CVE-2026-22796[CVSS base score 9.8]
DT462869,N,N,Third party component updates for cumulative security update 9.3.0.37
